Bedroom,Neighborhood_encoded,Has_Air_condition,Has_Backyard,Has_Balcony,Has_Cafeteria,Has_Cctv,Has_Deck,Has_Drainage,Has_Electricity_backup,Has_Fencing,Has_Frontyard,Has_Garage,Has_Garden,Has_Gym,Has_Intercom,Has_Internet,Has_Jacuzzi,Has_Kids_playground,Has_Lawn,Has_Lift,Has_Maintenance,Has_Microwave,Has_Modular_kitchen,Has_Parking,Has_Security_staff,Has_Solar_water,Has_Store_room,Has_Swimming_pool,Has_Tv_cable,Has_Washing_machine,Has_Water_supply,Has_Water_tank,Has_Water_well,Has_Wifi,Area_Aana,City_encoded,Face_encoded,Road Type_encoded,Area_Aana_log,Floors_log,Bathroom_log
6,64,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,16.0,9,7,1,2.833213344056216,1.0986122886681098,1.3862943611198906
5,64,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,21.0,9,0,1,3.091042453358316,1.0986122886681098,1.3862943611198906
5,98,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,17.0,9,0,1,2.8903717578961645,1.0986122886681098,1.3862943611198906
6,31,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,10.25,9,7,1,2.4203681286504293,1.3862943611198906,1.6094379124341003
6,124,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,19.5,9,0,1,3.0204248861443626,1.0986122886681098,1.3862943611198906
5,32,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,12.8125,9,0,1,2.6255739792779718,1.3862943611198906,1.9459101490553132
3,204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.3125,12,5,3,1.461517782357478,1.3862943611198906,1.6094379124341003
5,64,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,9.25,9,0,1,2.327277705584417,1.0986122886681098,1.6094379124341003
10,31,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,12.875,9,1,1,2.630088659632498,1.5040773967762742,2.1972245773362196
6,330,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,4.0,9,5,2,1.6094379124341003,1.252762968495368,1.6094379124341003
4,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.0,18,6,1,2.70805020110221,1.3862943611198906,1.791759469228055
